method,offset,target
r3 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r3),0,<java.lang.String: void <clinit>()>
$z0 = staticinvoke <com.autostart.AutoStartActivity$OnResumeTask: boolean access$3(com.autostart.AutoStartActivity$OnResumeTask)>($r13),0,<android.os.AsyncTask: void <clinit>()>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
specialinvoke $r17.<java.lang.StringBuilder: void <init>(java.lang.String)>(r3),0,<java.lang.StringBuilder: void <init>(java.lang.String)>
"$r17 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("";;"")",0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
$r17 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r3),0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
r3 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.String toString()>(),0,<java.lang.StringBuilder: java.lang.String toString()>
specialinvoke $r17.<java.lang.StringBuilder: void <init>(java.lang.String)>(r4),0,<java.lang.StringBuilder: void <init>(java.lang.String)>
"$r17 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("";;"")",0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
$r17 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4),0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
r4 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.String toString()>(),0,<java.lang.StringBuilder: java.lang.String toString()>
specialinvoke $r2.<java.util.ArrayList: void <init>()>(),0,<java.util.ArrayList: void <init>()>
$i1 = virtualinvoke $r2.<java.util.ArrayList: int size()>(),0,<java.util.ArrayList: int size()>
virtualinvoke $r2.<java.util.ArrayList: void clear()>(),0,<java.util.ArrayList: void clear()>
$r15 = virtualinvoke $r2.<java.util.ArrayList: java.lang.Object get(int)>(i0),0,<java.util.ArrayList: java.lang.Object get(int)>
$r15 = virtualinvoke $r2.<java.util.ArrayList: java.lang.Object get(int)>(i0),0,<java.util.ArrayList: java.lang.Object get(int)>
$r15 = virtualinvoke $r2.<java.util.ArrayList: java.lang.Object get(int)>(i0),0,<java.util.ArrayList: java.lang.Object get(int)>
$r15 = virtualinvoke $r2.<java.util.ArrayList: java.lang.Object get(int)>(i0),0,<java.util.ArrayList: java.lang.Object get(int)>
"specialinvoke $r6.<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>(r0, r0, $r2)",0,"<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>"
"$r7 = virtualinvoke r0.<com.autostart.AutoStartActivity: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>(""autostart"", 0)",0,"<android.content.ContextWrapper: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>"
specialinvoke r0.<android.app.Activity: void onPause()>(),0,<android.app.Activity: void onPause()>
specialinvoke r0.<android.app.Activity: void onConfigurationChanged(android.content.res.Configuration)>($r1),0,<android.app.Activity: void onConfigurationChanged(android.content.res.Configuration)>
specialinvoke $r10.<com.autostart.AutoStartActivity$6: void <init>(com.autostart.AutoStartActivity)>(r0),0,<com.autostart.AutoStartActivity$6: void <init>(com.autostart.AutoStartActivity)>
"specialinvoke $r9.<com.autostart.AutoStartActivity$5: void <init>(com.autostart.AutoStartActivity,android.view.View)>(r0, $r1)",0,"<com.autostart.AutoStartActivity$5: void <init>(com.autostart.AutoStartActivity,android.view.View)>"
specialinvoke r2.<android.app.AlertDialog$Builder: void <init>(android.content.Context)>(r0),0,<android.app.AlertDialog$Builder: void <init>(android.content.Context)>
$r8 = virtualinvoke r2.<android.app.AlertDialog$Builder: android.app.AlertDialog$Builder setTitle(java.lang.CharSequence)>(r5),0,<android.app.AlertDialog$Builder: android.app.AlertDialog$Builder setTitle(java.lang.CharSequence)>
$r11 = virtualinvoke r2.<android.app.AlertDialog$Builder: android.app.AlertDialog create()>(),0,<android.app.AlertDialog$Builder: android.app.AlertDialog create()>
"specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>(""Remove "")",0,<java.lang.StringBuilder: void <init>(java.lang.String)>
$r6 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r5),0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
"$r6 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("" from autostart list?"")",0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.String toString()>(),0,<java.lang.StringBuilder: java.lang.String toString()>
specialinvoke r0.<com.autostart.AutoStartActivity: void showMainScreen(boolean)>(1),0,<com.autostart.AutoStartActivity: void showMainScreen(boolean)>
"$z0 = specialinvoke r0.<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>($i0, $r1)",0,"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>"
specialinvoke r1.<com.autostart.AutoStartActivity$PInfo: void <init>(com.autostart.AutoStartActivity)>(r0),0,<com.autostart.AutoStartActivity$PInfo: void <init>(com.autostart.AutoStartActivity)>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
"specialinvoke $r9.<com.autostart.AutoStartActivity$OnResumeTask: void <init>(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$OnResumeTask)>(r0, null)",0,"<com.autostart.AutoStartActivity$OnResumeTask: void <init>(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$OnResumeTask)>"
virtualinvoke $r9.<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>($r10),0,<android.os.AsyncTask: android.os.AsyncTask execute(java.lang.Object[])>
virtualinvoke $r9.<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>($r10),0,<android.os.AsyncTask: void onProgressUpdate(java.lang.Object[])>
virtualinvoke $r9.<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>($r10),0,<android.os.AsyncTask: void onPreExecute()>
virtualinvoke $r9.<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>($r10),0,<com.autostart.AutoStartActivity$OnResumeTask: java.lang.Object doInBackground(java.lang.Object[])>
virtualinvoke $r9.<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>($r10),0,<com.autostart.AutoStartActivity$OnResumeTask: void onPostExecute(java.lang.Object)>
virtualinvoke r0.<com.autostart.AutoStartActivity$OnResumeTask: void onPostExecute(java.lang.Void)>($r2),0,<com.autostart.AutoStartActivity$OnResumeTask: void onPostExecute(java.lang.Void)>
$r7 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>($r6),0,<android.app.Activity: void <clinit>()>
$r10 = staticinvoke <com.autostart.AutoStartActivity: android.widget.ProgressBar access$12(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: android.widget.ProgressBar access$12(com.autostart.AutoStartActivity)>
$r9 = staticinvoke <com.autostart.AutoStartActivity: android.widget.Button access$11(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: android.widget.Button access$11(com.autostart.AutoStartActivity)>
