method,offset,target
<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>,0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>,0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
<java.lang.StringBuilder: java.lang.String toString()>,0,<java.lang.StringBuilder: java.lang.String toString()>
<java.util.ArrayList: void <init>()>,0,<java.util.ArrayList: void <init>()>
<java.util.ArrayList: int size()>,0,<java.util.ArrayList: int size()>
<java.util.ArrayList: void clear()>,0,<java.util.ArrayList: void clear()>
<java.util.ArrayList: java.lang.Object get(int)>,0,<java.util.ArrayList: java.lang.Object get(int)>
<java.util.ArrayList: java.lang.Object get(int)>,0,<java.util.ArrayList: java.lang.Object get(int)>
<java.util.ArrayList: java.lang.Object get(int)>,0,<java.util.ArrayList: java.lang.Object get(int)>
<java.util.ArrayList: java.lang.Object get(int)>,0,<java.util.ArrayList: java.lang.Object get(int)>
"<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>",0,"<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>"
"<com.autostart.AutoStartActivity: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>",0,"<android.content.ContextWrapper: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>"
<android.app.Activity: void onPause()>,0,<android.app.Activity: void onPause()>
<android.app.Activity: void onConfigurationChanged(android.content.res.Configuration)>,0,<android.app.Activity: void onConfigurationChanged(android.content.res.Configuration)>
<com.autostart.AutoStartActivity$6: void <init>(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity$6: void <init>(com.autostart.AutoStartActivity)>
"<com.autostart.AutoStartActivity$5: void <init>(com.autostart.AutoStartActivity,android.view.View)>",0,"<com.autostart.AutoStartActivity$5: void <init>(com.autostart.AutoStartActivity,android.view.View)>"
<android.app.AlertDialog$Builder: void <init>(android.content.Context)>,0,<android.app.AlertDialog$Builder: void <init>(android.content.Context)>
<android.app.AlertDialog$Builder: android.app.AlertDialog$Builder setTitle(java.lang.CharSequence)>,0,<android.app.AlertDialog$Builder: android.app.AlertDialog$Builder setTitle(java.lang.CharSequence)>
<android.app.AlertDialog$Builder: android.app.AlertDialog create()>,0,<android.app.AlertDialog$Builder: android.app.AlertDialog create()>
<java.lang.StringBuilder: void <init>(java.lang.String)>,0,<java.lang.StringBuilder: void <init>(java.lang.String)>
<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>,0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>,0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
<java.lang.StringBuilder: java.lang.String toString()>,0,<java.lang.StringBuilder: java.lang.String toString()>
<com.autostart.AutoStartActivity: void showMainScreen(boolean)>,0,<com.autostart.AutoStartActivity: void showMainScreen(boolean)>
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>",0,"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>"
<com.autostart.AutoStartActivity$PInfo: void <init>(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity$PInfo: void <init>(com.autostart.AutoStartActivity)>
<java.lang.Object: void <init>()>,0,<java.lang.Object: void <init>()>
"<com.autostart.AutoStartActivity$OnResumeTask: void <init>(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$OnResumeTask)>",0,"<com.autostart.AutoStartActivity$OnResumeTask: void <init>(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$OnResumeTask)>"
<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>,0,<android.os.AsyncTask: android.os.AsyncTask execute(java.lang.Object[])>
<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>,0,<android.os.AsyncTask: void onProgressUpdate(java.lang.Object[])>
<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>,0,<android.os.AsyncTask: void onPreExecute()>
<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>,0,<com.autostart.AutoStartActivity$OnResumeTask: java.lang.Object doInBackground(java.lang.Object[])>
<com.autostart.AutoStartActivity$OnResumeTask: android.os.AsyncTask execute(java.lang.Object[])>,0,<com.autostart.AutoStartActivity$OnResumeTask: void onPostExecute(java.lang.Object)>
<com.autostart.AutoStartActivity$OnResumeTask: void onPostExecute(java.lang.Void)>,0,<com.autostart.AutoStartActivity$OnResumeTask: void onPostExecute(java.lang.Void)>
<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>,0,<android.app.Activity: void <clinit>()>
<com.autostart.AutoStartActivity: android.widget.ProgressBar access$12(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: android.widget.ProgressBar access$12(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity: android.widget.Button access$11(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: android.widget.Button access$11(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity: android.widget.ListView access$9(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: android.widget.ListView access$9(com.autostart.AutoStartActivity)>
"<com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>",0,"<com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>"
<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity: android.widget.Button access$11(com.autostart.AutoStartActivity)>,0,<android.app.Activity: void <clinit>()>
"<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>",0,"<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>"
<com.autostart.AutoStartActivity$OnResumeTask: java.lang.Void doInBackground(java.lang.Void[])>,0,<com.autostart.AutoStartActivity$OnResumeTask: java.lang.Void doInBackground(java.lang.Void[])>
<com.autostart.AutoStartActivity: java.util.List access$3(com.autostart.AutoStartActivity)>,0,<android.app.Activity: void <clinit>()>
<java.util.Collections: void sort(java.util.List)>,0,<java.util.Collections: void sort(java.util.List)>
