method,offset,target
$r9 = <d.c: d.c$b e>,0,<d.c: void <clinit>()>
$r8 = <d.b: d.b$a d>,0,<d.b: void <clinit>()>
$r6 = <d.a: d.a$c d>,0,<d.a: void <clinit>()>
$r5 = <d.e: d.e$b b>,0,<d.e: void <clinit>()>
specialinvoke $r0.<d.e$b: void <init>(d.e$a)>(null),0,<d.e$b: void <init>(d.e$a)>
specialinvoke r0.<d.e$b: void <init>()>(),0,<d.e$b: void <init>()>
specialinvoke r0.<d.e: void <init>(float)>(1.0F),0,<d.e: void <init>(float)>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r1.<d.a$c: void <init>(d.a$a)>(null),0,<d.a$c: void <init>(d.a$a)>
specialinvoke r0.<d.a$c: void <init>()>(),0,<d.a$c: void <init>()>
"specialinvoke r0.<d.a: void <init>(float,float)>(0.5F, 0.5F)",0,"<d.a: void <init>(float,float)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r0.<d.a$b: void <init>(d.a$a)>(null),0,<d.a$b: void <init>(d.a$a)>
specialinvoke r0.<d.a$b: void <init>()>(),0,<d.a$b: void <init>()>
"specialinvoke r0.<d.a: void <init>(float,float)>(0.54F, 0.46F)",0,"<d.a: void <init>(float,float)>"
specialinvoke $r0.<d.b$a: void <init>()>(),0,<d.b$a: void <init>()>
"specialinvoke r0.<d.b: void <init>(float,float,float)>(0.42659F, 0.49656F, 0.076849F)",0,"<d.b: void <init>(float,float,float)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r2.<d.c$d: void <init>(d.c$a)>(null),0,<d.c$d: void <init>(d.c$a)>
specialinvoke r0.<d.c$d: void <init>()>(),0,<d.c$d: void <init>()>
"specialinvoke r0.<d.c: void <init>(float,float,float,float)>(0.355768F, 0.487396F, 0.144232F, 0.012604F)",0,"<d.c: void <init>(float,float,float,float)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r1.<d.c$c: void <init>(d.c$a)>(null),0,<d.c$c: void <init>(d.c$a)>
specialinvoke r0.<d.c$c: void <init>()>(),0,<d.c$c: void <init>()>
"specialinvoke r0.<d.c: void <init>(float,float,float,float)>(0.3635819F, 0.4891775F, 0.1365995F, 0.0106411F)",0,"<d.c: void <init>(float,float,float,float)>"
specialinvoke $r0.<d.c$b: void <init>(d.c$a)>(null),0,<d.c$b: void <init>(d.c$a)>
specialinvoke r0.<d.c$b: void <init>()>(),0,<d.c$b: void <init>()>
"specialinvoke r0.<d.c: void <init>(float,float,float,float)>(0.35875F, 0.48829F, 0.14128F, 0.01168F)",0,"<d.c: void <init>(float,float,float,float)>"
specialinvoke $r0.<d.d$b: void <init>(d.d$a)>(null),0,<d.d$b: void <init>(d.d$a)>
specialinvoke r0.<d.d$b: void <init>()>(),0,<d.d$b: void <init>()>
"specialinvoke r0.<d.d: void <init>(float,float,float,float,float)>(1.0F, 1.93F, 1.29F, 0.388F, 0.028F)",0,"<d.d: void <init>(float,float,float,float,float)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r0.<d.f: void <init>()>(),0,<d.f: void <init>()>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r0.<d.g: void <init>()>(),0,<d.g: void <init>()>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r0.<d.h: void <init>()>(),0,<d.h: void <init>()>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r0.<c.e: void <init>()>(),0,<c.e: void <init>()>
specialinvoke $r1.<java.util.Random: void <init>()>(),0,<java.util.Random: void <init>()>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
"specialinvoke $r4.<c.a: void <init>(float,float)>(20.0F, 1.0F)",0,"<c.a: void <init>(float,float)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
"specialinvoke $r3.<c.b: void <init>(float,float)>(20.0F, 1.0F)",0,"<c.b: void <init>(float,float)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
"specialinvoke $r2.<c.d: void <init>(int,float)>(1000, 1.0F)",0,"<c.d: void <init>(int,float)>"
"specialinvoke $r1.<java.lang.IllegalArgumentException: void <init>(java.lang.String)>(""amplitude must be in [0, 1]"")",0,<java.lang.IllegalArgumentException: void <init>(java.lang.String)>
"specialinvoke $r1.<java.lang.IllegalArgumentException: void <init>(java.lang.String)>(""frequency must be positive"")",0,<java.lang.IllegalArgumentException: void <init>(java.lang.String)>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r0.<java.util.HashMap: void <init>()>(),0,<java.util.HashMap: void <init>()>
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""whiteNoise"", $r1)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""tone-1k"", $r2)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""logToneSweep-20"", $r3)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""linearToneSweep-20"", $r4)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
specialinvoke $r0.<java.util.HashMap: void <init>()>(),0,<java.util.HashMap: void <init>()>
